idioma_secreto,espanol
ribi kita vivi dira nole,el músico encuentra la gata
ribi tore ribi vife rori mibe zova,el jardinero no cuida el niño joven
ribi zoli vivi taki tole,el perro mira la niña
ribi tore vivi bene mivi mibe,el jardinero cuida la médica azul
vivi gore ribi sivi zoli nibe,la maestra busca el perro grande
vivi mivi ribi bene zoli mibe zova,la médica no cuida el perro azul
vivi taki vivi kote gore liba,la niña lee la maestra verde
vivi taki ribi sivi zoli mibe zova,la niña no cuida el perro grande
ribi tore vivi bene taki liba,el jardinero lee la niña azul
vivi mivi ribi sivi zoli giki,la médica lleva el perro grande
vivi gore ribi sivi rori tole zova,la maestra no mira el niño grande
ribi tore ribi kote rori liba zova,el jardinero no lee el niño verde
vivi dira ribi sivi zoli liba,la gata lee el perro grande
ribi tore ribi toge zoli giki zova,el jardinero no lleva el perro feliz
ribi tore vivi sivi mivi tole zova,el jardinero no mira la médica grande
vivi taki ribi kote rori liba,la niña lee el niño verde
ribi kita vivi bene taki giki,el músico lleva la niña azul
vivi taki ribi toge rori mibe,la niña cuida el niño feliz
ribi tore vivi bene taki nibe zova,el jardinero no busca la niña azul
ribi kita vivi sivi dira liba,el músico lee la gata grande
ribi kita ribi toge zoli liba,el músico lee el perro feliz
ribi zoli ribi toge rori mibe,el perro cuida el niño feliz
ribi kita ribi tore mibe,el músico cuida el jardinero
ribi kita ribi vife zoli nibe,el músico busca el perro joven
vivi mivi ribi rori nole zova,la médica no encuentra el niño
vivi dira ribi vife rori liba zova,la gata no lee el niño joven
ribi rori ribi bene tore mibe,el niño cuida el jardinero azul
ribi kita vivi toge dira nibe,el músico busca la gata feliz
vivi mivi vivi sivi dira tole zova,la médica no mira la gata grande
ribi kita ribi vife zoli liba,el músico lee el perro joven
ribi rori ribi zoli giki zova,el niño no lleva el perro
vivi mivi vivi bene taki giki zova,la médica no lleva la niña azul
ribi kita vivi dira tole,el músico mira la gata
vivi mivi vivi toge gore nibe,la médica busca la maestra feliz
ribi kita ribi kote rori giki,el músico lleva el niño verde
vivi dira vivi vife mivi mibe zova,la gata no cuida la médica joven
ribi zoli vivi toge gore tole,el perro mira la maestra feliz
ribi zoli vivi vife mivi giki,el perro lleva la médica joven
ribi rori vivi sivi dira mibe,el niño cuida la gata grande
vivi taki ribi kote kita liba,la niña lee el músico verde
vivi dira ribi vife kita mibe,la gata cuida el músico joven
ribi kita vivi kote dira liba zova,el músico no lee la gata verde
vivi dira vivi bene mivi giki,la gata lleva la médica azul
ribi kita vivi dira nibe zova,el músico no busca la gata
vivi taki vivi vife dira tole,la niña mira la gata joven
vivi taki ribi kita tole,la niña mira el músico
vivi taki vivi vife dira liba,la niña lee la gata joven
ribi tore vivi sivi mivi liba,el jardinero lee la médica grande
ribi tore ribi bene kita mibe zova,el jardinero no cuida el músico azul
ribi tore vivi kote dira nole,el jardinero encuentra la gata verde
ribi tore ribi zoli mibe,el jardinero cuida el perro
vivi taki ribi bene zoli mibe,la niña cuida el perro azul
vivi taki vivi toge gore nole zova,la niña no encuentra la maestra feliz
vivi gore vivi bene mivi tole zova,la maestra no mira la médica azul
vivi taki ribi kote tore mibe,la niña cuida el jardinero verde
ribi zoli vivi taki nibe zova,el perro no busca la niña
ribi tore vivi kote mivi mibe,el jardinero cuida la médica verde
vivi gore ribi sivi kita mibe,la maestra cuida el músico grande
vivi gore vivi kote mivi liba zova,la maestra no lee la médica verde
ribi rori ribi zoli mibe zova,el niño no cuida el perro
ribi tore ribi bene kita tole zova,el jardinero no mira el músico azul
vivi mivi ribi bene kita mibe,la médica cuida el músico azul
vivi gore ribi bene kita mibe,la maestra cuida el músico azul
ribi zoli ribi toge tore tole,el perro mira el jardinero feliz
vivi mivi ribi zoli nole zova,la médica no encuentra el perro
ribi zoli ribi sivi rori nibe zova,el perro no busca el niño grande
ribi zoli ribi toge rori liba,el perro lee el niño feliz
vivi dira vivi gore giki zova,la gata no lleva la maestra
vivi dira ribi toge kita nole,la gata encuentra el músico feliz
ribi rori vivi toge mivi liba zova,el niño no lee la médica feliz
vivi taki ribi bene kita nibe zova,la niña no busca el músico azul
vivi gore ribi kote zoli tole,la maestra mira el perro verde
ribi rori ribi vife kita liba zova,el niño no lee el músico joven
ribi kita vivi mivi tole,el músico mira la médica
ribi zoli vivi kote gore liba,el perro lee la maestra verde
ribi kita vivi sivi gore giki zova,el músico no lleva la maestra grande
vivi mivi ribi kita mibe zova,la médica no cuida el músico
ribi zoli ribi toge rori nibe,el perro busca el niño feliz
ribi rori vivi bene taki nibe,el niño busca la niña azul
vivi taki ribi toge tore giki,la niña lleva el jardinero feliz
ribi tore ribi sivi zoli nibe zova,el jardinero no busca el perro grande
ribi tore vivi sivi gore nole zova,el jardinero no encuentra la maestra grande
vivi mivi ribi vife rori nibe zova,la médica no busca el niño joven
ribi zoli vivi mivi nibe,el perro busca la médica
vivi gore ribi kote zoli mibe,la maestra cuida el perro verde
ribi rori vivi sivi mivi mibe,el niño cuida la médica grande
vivi mivi ribi toge tore tole,la médica mira el jardinero feliz
vivi gore vivi bene mivi mibe zova,la maestra no cuida la médica azul
ribi tore vivi bene dira nole zova,el jardinero no encuentra la gata azul
ribi tore vivi vife dira nole,el jardinero encuentra la gata joven
vivi mivi ribi kote kita nole zova,la médica no encuentra el músico verde
ribi zoli vivi vife gore mibe,el perro cuida la maestra joven
ribi zoli ribi vife kita mibe,el perro cuida el músico joven
vivi mivi ribi kita giki zova,la médica no lleva el músico
vivi taki vivi sivi dira nole,la niña encuentra la gata grande
ribi rori ribi kita giki,el niño lleva el músico
ribi tore vivi toge mivi giki,el jardinero lleva la médica feliz
vivi taki ribi kita giki zova,la niña no lleva el músico
vivi taki vivi sivi mivi nibe zova,la niña no busca la médica grande
vivi dira vivi sivi gore liba,la gata lee la maestra grande
ribi tore vivi toge gore mibe zova,el jardinero no cuida la maestra feliz
ribi zoli ribi sivi kita nole,el perro encuentra el músico grande
vivi taki vivi gore giki,la niña lleva la maestra
vivi dira ribi toge tore nibe zova,la gata no busca el jardinero feliz
vivi gore vivi vife dira giki zova,la maestra no lleva la gata joven
ribi zoli vivi vife mivi nibe zova,el perro no busca la médica joven
ribi rori ribi bene kita mibe,el niño cuida el músico azul
vivi taki ribi sivi rori tole zova,la niña no mira el niño grande
vivi mivi vivi bene taki mibe,la médica cuida la niña azul
ribi zoli vivi sivi taki tole,el perro mira la niña grande
ribi zoli vivi vife mivi mibe zova,el perro no cuida la médica joven
ribi kita ribi bene tore nole zova,el músico no encuentra el jardinero azul
vivi dira vivi kote taki liba zova,la gata no lee la niña verde
vivi gore ribi vife rori giki zova,la maestra no lleva el niño joven
vivi mivi ribi tore giki zova,la médica no lleva el jardinero
ribi zoli ribi bene tore nole zova,el perro no encuentra el jardinero azul
ribi tore vivi sivi taki liba zova,el jardinero no lee la niña grande
ribi rori ribi kote zoli nibe,el niño busca el perro verde
ribi tore vivi sivi mivi nibe zova,el jardinero no busca la médica grande
vivi mivi ribi bene rori nibe zova,la médica no busca el niño azul
ribi zoli vivi bene taki tole,el perro mira la niña azul
vivi taki vivi toge mivi nibe,la niña busca la médica feliz
vivi mivi ribi bene kita giki zova,la médica no lleva el músico azul
vivi gore ribi bene rori mibe zova,la maestra no cuida el niño azul
ribi rori ribi vife kita giki,el niño lleva el músico joven
ribi rori vivi vife taki nole zova,el niño no encuentra la niña joven
ribi zoli ribi bene tore tole,el perro mira el jardinero azul
ribi kita vivi bene gore nole,el músico encuentra la maestra azul
ribi zoli ribi sivi kita nibe,el perro busca el músico grande
vivi dira vivi sivi mivi tole,la gata mira la médica grande
ribi rori vivi kote mivi mibe zova,el niño no cuida la médica verde
vivi mivi ribi kote tore liba zova,la médica no lee el jardinero verde
vivi dira vivi bene mivi mibe,la gata cuida la médica azul
ribi zoli ribi kote tore nibe zova,el perro no busca el jardinero verde
ribi rori vivi kote mivi tole zova,el niño no mira la médica verde
vivi taki ribi sivi zoli giki,la niña lleva el perro grande
