idioma_secreto,espanol
vivi gore ribi sivi rori mibe,la maestra cuida el niño grande
ribi zoli vivi toge gore liba,el perro lee la maestra feliz
vivi dira vivi vife gore liba,la gata lee la maestra joven
ribi kita vivi kote taki nole zova,el músico no encuentra la niña verde
ribi tore vivi bene dira giki,el jardinero lleva la gata azul
vivi gore ribi kote tore giki,la maestra lleva el jardinero verde
ribi zoli vivi mivi liba zova,el perro no lee la médica
ribi rori ribi bene kita tole,el niño mira el músico azul
vivi dira ribi sivi tore liba zova,la gata no lee el jardinero grande
vivi mivi vivi toge taki mibe,la médica cuida la niña feliz
ribi rori vivi bene taki mibe,el niño cuida la niña azul
vivi mivi vivi kote dira liba zova,la médica no lee la gata verde
ribi rori vivi sivi mivi liba,el niño lee la médica grande
vivi gore vivi kote dira nole zova,la maestra no encuentra la gata verde
ribi zoli ribi sivi rori nole,el perro encuentra el niño grande
vivi taki vivi sivi dira tole zova,la niña no mira la gata grande
ribi zoli vivi sivi dira mibe zova,el perro no cuida la gata grande
ribi kita vivi sivi mivi tole zova,el músico no mira la médica grande
ribi rori vivi vife dira tole,el niño mira la gata joven
ribi rori vivi vife mivi nibe,el niño busca la médica joven
ribi tore ribi sivi rori nole zova,el jardinero no encuentra el niño grande
ribi rori ribi bene zoli nole,el niño encuentra el perro azul
ribi kita vivi kote taki giki zova,el músico no lleva la niña verde
vivi taki ribi tore tole,la niña mira el jardinero
vivi gore ribi vife kita giki,la maestra lleva el músico joven
ribi tore vivi vife mivi mibe zova,el jardinero no cuida la médica joven
ribi zoli vivi toge mivi liba,el perro lee la médica feliz
ribi zoli vivi toge taki nibe,el perro busca la niña feliz
ribi kita ribi sivi tore tole,el músico mira el jardinero grande
ribi tore vivi vife taki liba zova,el jardinero no lee la niña joven
vivi taki ribi sivi tore tole,la niña mira el jardinero grande
ribi zoli ribi rori nibe,el perro busca el niño
ribi rori ribi zoli nibe,el niño busca el perro
vivi taki ribi kote kita tole zova,la niña no mira el músico verde
ribi tore ribi zoli giki zova,el jardinero no lleva el perro
ribi tore vivi mivi nole zova,el jardinero no encuentra la médica
ribi kita ribi rori nibe zova,el músico no busca el niño
vivi taki vivi bene dira giki zova,la niña no lleva la gata azul
ribi rori ribi kita tole,el niño mira el músico
ribi rori vivi gore giki zova,el niño no lleva la maestra
ribi rori vivi bene gore giki,el niño lleva la maestra azul
ribi rori ribi kote kita liba,el niño lee el músico verde
ribi kita ribi sivi tore nole,el músico encuentra el jardinero grande
ribi tore ribi sivi kita liba,el jardinero lee el músico grande
vivi dira ribi vife kita giki,la gata lleva el músico joven
vivi mivi ribi bene tore nole,la médica encuentra el jardinero azul
ribi zoli vivi sivi gore mibe,el perro cuida la maestra grande
vivi gore ribi toge zoli mibe zova,la maestra no cuida el perro feliz
vivi gore vivi toge dira tole zova,la maestra no mira la gata feliz
ribi kita ribi kote tore nibe zova,el músico no busca el jardinero verde
ribi zoli ribi tore liba,el perro lee el jardinero
ribi rori ribi tore liba zova,el niño no lee el jardinero
vivi mivi ribi vife kita mibe zova,la médica no cuida el músico joven
vivi dira ribi toge zoli tole,la gata mira el perro feliz
ribi kita ribi zoli giki zova,el músico no lleva el perro
vivi mivi vivi toge gore nole,la médica encuentra la maestra feliz
vivi dira vivi vife taki nole zova,la gata no encuentra la niña joven
ribi zoli vivi taki liba zova,el perro no lee la niña
ribi rori vivi vife dira mibe zova,el niño no cuida la gata joven
ribi tore ribi zoli tole,el jardinero mira el perro
vivi dira ribi kote zoli mibe zova,la gata no cuida el perro verde
vivi mivi vivi bene dira tole zova,la médica no mira la gata azul
ribi zoli ribi kote tore giki,el perro lleva el jardinero verde
vivi taki ribi kote zoli tole zova,la niña no mira el perro verde
ribi rori vivi vife taki mibe,el niño cuida la niña joven
vivi taki ribi toge zoli nole,la niña encuentra el perro feliz
ribi rori vivi vife taki giki zova,el niño no lleva la niña joven
ribi tore ribi sivi kita liba zova,el jardinero no lee el músico grande
vivi mivi ribi vife tore liba,la médica lee el jardinero joven
ribi kita ribi tore nole zova,el músico no encuentra el jardinero
ribi kita vivi toge taki nole,el músico encuentra la niña feliz
ribi tore ribi sivi kita giki,el jardinero lleva el músico grande
ribi rori ribi sivi tore giki,el niño lleva el jardinero grande
ribi tore vivi gore nole zova,el jardinero no encuentra la maestra
ribi zoli vivi mivi nole zova,el perro no encuentra la médica
ribi rori vivi kote taki nole,el niño encuentra la niña verde
ribi tore ribi toge kita nole zova,el jardinero no encuentra el músico feliz
vivi gore ribi zoli mibe zova,la maestra no cuida el perro
ribi kita vivi kote gore nibe zova,el músico no busca la maestra verde
ribi kita vivi vife gore liba,el músico lee la maestra joven
ribi zoli vivi vife gore liba zova,el perro no lee la maestra joven
ribi kita vivi gore mibe,el músico cuida la maestra
ribi kita ribi kote rori mibe zova,el músico no cuida el niño verde
vivi gore vivi kote mivi nole zova,la maestra no encuentra la médica verde
ribi rori vivi vife gore mibe zova,el niño no cuida la maestra joven
vivi dira ribi toge zoli nole zova,la gata no encuentra el perro feliz
vivi taki vivi kote dira giki zova,la niña no lleva la gata verde
ribi tore ribi toge rori nibe zova,el jardinero no busca el niño feliz
vivi gore vivi sivi mivi tole,la maestra mira la médica grande
vivi taki vivi vife dira liba zova,la niña no lee la gata joven
ribi zoli ribi vife rori nibe zova,el perro no busca el niño joven
ribi tore vivi vife taki nole zova,el jardinero no encuentra la niña joven
vivi dira ribi bene kita nole,la gata encuentra el músico azul
ribi zoli vivi sivi mivi mibe,el perro cuida la médica grande
ribi kita vivi kote taki nibe,el músico busca la niña verde
ribi tore vivi taki liba,el jardinero lee la niña
vivi gore vivi vife taki mibe,la maestra cuida la niña joven
ribi zoli vivi gore mibe zova,el perro no cuida la maestra
vivi gore ribi kita nole,la maestra encuentra el músico
vivi dira vivi sivi taki giki zova,la gata no lleva la niña grande
vivi taki ribi bene tore mibe zova,la niña no cuida el jardinero azul
vivi gore vivi mivi liba zova,la maestra no lee la médica
ribi tore ribi bene zoli liba zova,el jardinero no lee el perro azul
vivi mivi ribi vife zoli nole zova,la médica no encuentra el perro joven
vivi mivi ribi kita tole zova,la médica no mira el músico
vivi dira vivi toge gore liba zova,la gata no lee la maestra feliz
ribi zoli vivi kote taki tole,el perro mira la niña verde
ribi tore ribi bene kita liba,el jardinero lee el músico azul
vivi mivi ribi kote kita mibe,la médica cuida el músico verde
ribi zoli vivi kote gore liba zova,el perro no lee la maestra verde
ribi rori vivi kote dira liba,el niño lee la gata verde
vivi taki vivi toge dira nole zova,la niña no encuentra la gata feliz
vivi gore vivi kote taki tole zova,la maestra no mira la niña verde
vivi gore ribi toge rori tole,la maestra mira el niño feliz
ribi tore vivi sivi mivi giki,el jardinero lleva la médica grande
ribi tore vivi vife taki tole zova,el jardinero no mira la niña joven
vivi taki ribi toge zoli nole zova,la niña no encuentra el perro feliz
ribi tore ribi vife kita liba,el jardinero lee el músico joven
ribi tore vivi sivi dira nole,el jardinero encuentra la gata grande
vivi mivi vivi toge gore mibe zova,la médica no cuida la maestra feliz
ribi zoli vivi mivi tole,el perro mira la médica
vivi gore ribi rori giki,la maestra lleva el niño
vivi mivi vivi sivi gore liba zova,la médica no lee la maestra grande
vivi mivi vivi vife dira tole zova,la médica no mira la gata joven
vivi gore vivi toge taki mibe,la maestra cuida la niña feliz
ribi kita vivi vife mivi nibe zova,el músico no busca la médica joven
vivi gore vivi mivi tole,la maestra mira la médica
vivi mivi ribi tore tole zova,la médica no mira el jardinero
ribi rori vivi dira mibe,el niño cuida la gata
vivi gore vivi vife dira nibe zova,la maestra no busca la gata joven
ribi rori vivi bene mivi mibe zova,el niño no cuida la médica azul
ribi zoli vivi toge mivi mibe zova,el perro no cuida la médica feliz
ribi kita ribi toge rori mibe zova,el músico no cuida el niño feliz
ribi zoli vivi sivi taki tole zova,el perro no mira la niña grande
vivi taki ribi vife zoli nibe,la niña busca el perro joven
vivi mivi vivi toge dira mibe zova,la médica no cuida la gata feliz
vivi mivi ribi vife rori nole zova,la médica no encuentra el niño joven
ribi kita ribi kote rori nole,el músico encuentra el niño verde
vivi mivi ribi kote zoli mibe zova,la médica no cuida el perro verde
vivi mivi ribi sivi rori nibe zova,la médica no busca el niño grande
ribi tore vivi gore mibe,el jardinero cuida la maestra
ribi tore ribi toge kita mibe zova,el jardinero no cuida el músico feliz
ribi kita ribi toge zoli nibe,el músico busca el perro feliz
vivi mivi vivi vife gore nibe zova,la médica no busca la maestra joven
vivi dira ribi sivi tore tole,la gata mira el jardinero grande
ribi rori vivi sivi dira nole zova,el niño no encuentra la gata grande
vivi taki ribi toge kita nibe,la niña busca el músico feliz
ribi kita vivi bene mivi mibe,el músico cuida la médica azul
ribi rori vivi mivi nibe zova,el niño no busca la médica
vivi dira vivi sivi taki tole,la gata mira la niña grande
vivi gore ribi toge kita tole,la maestra mira el músico feliz
vivi mivi vivi sivi dira giki,la médica lleva la gata grande
ribi zoli ribi toge kita nibe zova,el perro no busca el músico feliz
vivi taki ribi bene tore nole zova,la niña no encuentra el jardinero azul
ribi rori ribi kote tore giki zova,el niño no lleva el jardinero verde
vivi taki vivi kote gore nibe zova,la niña no busca la maestra verde
ribi rori ribi kote tore nibe zova,el niño no busca el jardinero verde
vivi gore vivi toge mivi giki,la maestra lleva la médica feliz
vivi dira ribi vife rori giki zova,la gata no lleva el niño joven
vivi mivi vivi vife gore tole,la médica mira la maestra joven
ribi zoli ribi kote tore liba,el perro lee el jardinero verde
ribi zoli vivi toge dira mibe zova,el perro no cuida la gata feliz
vivi gore ribi bene kita tole zova,la maestra no mira el músico azul
ribi rori vivi toge taki mibe zova,el niño no cuida la niña feliz
ribi rori vivi bene taki nole zova,el niño no encuentra la niña azul
ribi kita ribi vife rori nole,el músico encuentra el niño joven
ribi tore vivi sivi mivi nole zova,el jardinero no encuentra la médica grande
ribi zoli vivi vife dira mibe,el perro cuida la gata joven
ribi kita vivi bene dira giki zova,el músico no lleva la gata azul
vivi mivi vivi kote gore mibe,la médica cuida la maestra verde
vivi dira ribi kote kita giki,la gata lleva el músico verde
vivi mivi ribi kote tore nole,la médica encuentra el jardinero verde
vivi taki vivi toge gore giki,la niña lleva la maestra feliz
vivi mivi ribi sivi tore liba zova,la médica no lee el jardinero grande
ribi tore vivi kote dira mibe,el jardinero cuida la gata verde
vivi dira vivi toge taki tole zova,la gata no mira la niña feliz
vivi gore vivi kote taki mibe zova,la maestra no cuida la niña verde
ribi kita vivi vife dira giki,el músico lleva la gata joven
vivi dira ribi rori tole,la gata mira el niño
vivi taki ribi bene tore giki zova,la niña no lleva el jardinero azul
ribi tore vivi kote taki mibe zova,el jardinero no cuida la niña verde
vivi dira ribi kote zoli tole,la gata mira el perro verde
ribi tore ribi toge kita nole,el jardinero encuentra el músico feliz
ribi zoli vivi sivi mivi nibe zova,el perro no busca la médica grande
vivi mivi ribi sivi rori giki zova,la médica no lleva el niño grande
ribi kita ribi toge tore liba zova,el músico no lee el jardinero feliz
ribi zoli vivi vife taki mibe zova,el perro no cuida la niña joven
ribi rori ribi bene kita nibe,el niño busca el músico azul
ribi rori vivi vife gore nibe,el niño busca la maestra joven
ribi rori ribi tore giki,el niño lleva el jardinero
vivi mivi vivi kote gore nole,la médica encuentra la maestra verde
ribi tore vivi bene dira liba zova,el jardinero no lee la gata azul
vivi mivi vivi kote gore mibe zova,la médica no cuida la maestra verde
vivi gore ribi toge kita nole zova,la maestra no encuentra el músico feliz
ribi tore vivi gore liba,el jardinero lee la maestra
ribi zoli ribi bene rori tole,el perro mira el niño azul
ribi zoli vivi kote mivi mibe,el perro cuida la médica verde
vivi dira ribi toge zoli mibe zova,la gata no cuida el perro feliz
vivi mivi vivi bene gore nole,la médica encuentra la maestra azul
vivi dira ribi bene zoli liba,la gata lee el perro azul
vivi taki ribi vife rori tole,la niña mira el niño joven
vivi dira vivi bene mivi tole,la gata mira la médica azul
ribi tore ribi vife rori nibe,el jardinero busca el niño joven
ribi kita vivi kote mivi giki,el músico lleva la médica verde
vivi taki ribi toge zoli giki,la niña lleva el perro feliz
ribi tore vivi sivi dira nole zova,el jardinero no encuentra la gata grande
vivi mivi ribi vife tore giki,la médica lleva el jardinero joven
vivi dira vivi toge gore nibe,la gata busca la maestra feliz
ribi zoli ribi toge tore mibe,el perro cuida el jardinero feliz
vivi gore vivi vife taki liba zova,la maestra no lee la niña joven
vivi taki ribi sivi rori liba zova,la niña no lee el niño grande
vivi mivi vivi kote gore liba,la médica lee la maestra verde
ribi tore vivi vife taki mibe zova,el jardinero no cuida la niña joven
ribi tore ribi bene kita giki,el jardinero lleva el músico azul
vivi gore vivi kote mivi tole zova,la maestra no mira la médica verde
ribi rori vivi toge gore nole,el niño encuentra la maestra feliz
ribi zoli vivi sivi dira giki,el perro lleva la gata grande
ribi kita vivi toge mivi nole zova,el músico no encuentra la médica feliz
ribi tore ribi toge kita mibe,el jardinero cuida el músico feliz
ribi kita vivi toge mivi tole zova,el músico no mira la médica feliz
vivi gore vivi vife dira giki,la maestra lleva la gata joven
vivi mivi vivi toge taki nibe zova,la médica no busca la niña feliz
ribi zoli ribi vife tore liba zova,el perro no lee el jardinero joven
ribi rori ribi vife zoli mibe,el niño cuida el perro joven
ribi zoli vivi toge gore nole,el perro encuentra la maestra feliz
ribi rori vivi kote dira giki zova,el niño no lleva la gata verde
ribi tore vivi kote gore liba,el jardinero lee la maestra verde
ribi tore vivi gore liba zova,el jardinero no lee la maestra
vivi dira ribi vife tore liba,la gata lee el jardinero joven
ribi zoli vivi kote mivi nole,el perro encuentra la médica verde
vivi dira ribi bene rori nibe,la gata busca el niño azul
ribi rori vivi sivi gore giki zova,el niño no lleva la maestra grande
ribi kita vivi kote dira nole,el músico encuentra la gata verde
vivi dira vivi vife mivi nibe,la gata busca la médica joven
ribi rori vivi taki mibe zova,el niño no cuida la niña
ribi tore vivi toge gore nole,el jardinero encuentra la maestra feliz
ribi tore ribi kita nibe zova,el jardinero no busca el músico
ribi kita vivi gore nole,el músico encuentra la maestra
ribi kita ribi toge zoli nole,el músico encuentra el perro feliz
ribi zoli ribi kote kita nibe,el perro busca el músico verde
ribi rori vivi gore nole,el niño encuentra la maestra
vivi gore vivi toge dira tole,la maestra mira la gata feliz
ribi tore ribi bene rori nole,el jardinero encuentra el niño azul
vivi mivi vivi sivi taki liba,la médica lee la niña grande
vivi gore ribi bene tore nole,la maestra encuentra el jardinero azul
vivi gore ribi toge zoli mibe,la maestra cuida el perro feliz
ribi kita ribi vife rori tole zova,el músico no mira el niño joven
ribi kita vivi bene mivi nole,el músico encuentra la médica azul
vivi taki vivi bene mivi mibe,la niña cuida la médica azul
vivi dira vivi gore tole,la gata mira la maestra
vivi dira vivi toge mivi giki zova,la gata no lleva la médica feliz
